countryName,pct_females
Albania,12.88
Algeria,30.94
Andorra,8.69
Argentina,6.28
Armenia,12.82
Australia,6.34
Austria,9.48
Azerbaijan,7.41
Bahrain,17.37
Bangladesh,4.41
Belarus,6.22
Belgium,10.59
Bolivia,8.80
"Bosnia and Herzegovina",11.44
Brazil,14.18
Bulgaria,12.28
Canada,7.53
Chile,5.64
China,12.08
Colombia,6.46
"Costa Rica",5.20
Croatia,6.76
Cuba,33.33
Cyprus,5.28
"Czech Republic",8.24
Denmark,14.92
"Dominican Republic",11.32
Ecuador,4.19
"El Salvador",5.42
Estonia,0.93
Finland,4.69
France,11.75
Georgia,6.30
Germany,12.70
Greece,6.24
Guatemala,9.85
Honduras,8.50
"Hong Kong",5.81
Hungary,6.66
Iceland,6.37
India,6.51
Indonesia,4.58
Iran,9.30
Ireland,7.67
Israel,7.32
Italy,6.84
Japan,9.60
Jordan,11.11
Kazakhstan,7.11
Kenya,4.55
Kosovo,4.55
Kuwait,21.56
Kyrgyzstan,2.84
Latvia,6.15
Liechtenstein,9.80
Lithuania,4.14
Luxembourg,16.13
Macau,17.14
Macedonia,10.46
Malaysia,4.47
Mauritius,14.71
Mexico,5.17
Moldova,8.70
Mongolia,19.16
Montenegro,15.37
Morocco,23.72
"Multiple Countries (Americas)",7.22
"Multiple Countries (Asia)",6.31
"Multiple Countries (Europe)",7.01
"Multiple Countries (South America)",3.33
Nepal,5.92
Netherlands,12.93
"New Zealand",9.16
Norway,7.73
Pakistan,21.43
Panama,8.40
Paraguay,10.45
Peru,7.52
Philippines,6.86
Poland,7.65
Portugal,10.02
"Republic of Korea",6.90
Romania,11.48
Russia,10.26
"San Marino",5.59
Serbia,6.67
Singapore,5.33
Slovakia,5.53
Slovenia,8.70
"South Africa",7.38
Spain,10.56
Sweden,6.41
Switzerland,7.88
Taiwan,8.08
Tajikistan,0.00
Thailand,6.72
Tunisia,18.50
Turkey,5.05
Ukraine,9.87
"United Arab Emirates",13.13
"United Kingdom",8.21
"United States",7.13
Uruguay,6.66
Uzbekistan,6.12
Venezuela,11.43
Vietnam,5.53
